,indice_vulnerabilidad_alimentaria
indice_vulnerabilidad_alimentaria,1.0
pct_pobreza_extrema,0.4679730616841779
pct_pobreza_total,0.46403705568031667
latitude,0.14468471962606547
longitude,0.023807624024172146
P601A_PRODUCTO,-0.0024395113918211503
P601A,-0.02001141741668147
P601B4,-0.034550030649285725
P601B1,-0.07241440977356119
pob_densidad_2020,-0.3794102242665038
idh_2019,-0.41716918148819915
P601B,
